,Start,End,Point,Average temperature,Sensor,Depth
0,2023-07-26 13:30:00,2023-07-26 13:50:00,Led1,26.564,10,80
1,2023-07-26 13:41:01,2023-07-26 14:10:01,Led1,27.059,10,80
2,2023-07-26 15:00:00,2023-07-26 16:00:00,Led1,28.238,10,80
3,2023-07-26 16:00:00,2023-07-26 17:00:00,Led1,27.877,10,80
4,2023-07-26 17:00:00,2023-07-26 18:00:00,Led1,27.083,10,80
5,2023-07-26 19:00:00,2023-07-26 20:00:00,Led1,23.437,10,80
6,2023-07-26 20:00:00,2023-07-26 21:00:00,Led1,21.499,10,80
7,2023-07-26 21:00:00,2023-07-26 22:00:00,Led2,20.472,10,90
8,2023-07-26 22:00:00,2023-07-26 23:00:00,Led2,18.532,10,90
9,2023-07-26 23:00:00,2023-07-27 00:00:00,Led2,17.423,10,90
10,2023-07-27 00:00:00,2023-07-27 01:00:00,Led2,17.373,10,90
